,time_frame,train_configure,infer_configure,status,result
30,1676190408.4342513,"{'arch': 'resnet152', 'workers': 1, 'epochs': 5, 'batch_size': 32, 'image_size': 224, 'device': 'cuda'}","{'arch': 'resnet50', 'workers': 1, 'batch_size': 1, 'image_size': 224, 'device': 'cuda'}",Sucess,{'duration_sec': 1672.9703919887543}
31,1676192150.9184885,"{'arch': 'alexnet', 'workers': 1, 'epochs': 5, 'batch_size': 1024, 'image_size': 224, 'device': 'cuda'}","{'arch': 'resnet50', 'workers': 1, 'batch_size': 1, 'image_size': 224, 'device': 'cuda'}",Sucess,{'duration_sec': 1141.735417842865}
32,1676199630.4658911,"{'arch': 'deeplabv3_resnet50', 'workers': 1, 'epochs': 5, 'batch_size': 8, 'image_size': 224, 'device': 'cuda'}","{'arch': 'resnet50', 'workers': 1, 'batch_size': 1, 'image_size': 224, 'device': 'cuda'}",Sucess,{'duration_sec': 6878.412918329239}
33,1676201730.2886465,"{'arch': 'vgg16', 'workers': 1, 'epochs': 5, 'batch_size': 64, 'image_size': 224, 'device': 'cuda'}","{'arch': 'vgg16', 'workers': 1, 'batch_size': 1, 'image_size': 224, 'device': 'cuda'}",Sucess,{'duration_sec': 1499.4899365901947}
34,1676204304.1212962,"{'arch': 'resnet152', 'workers': 1, 'epochs': 5, 'batch_size': 32, 'image_size': 224, 'device': 'cuda'}","{'arch': 'vgg16', 'workers': 1, 'batch_size': 1, 'image_size': 224, 'device': 'cuda'}",Sucess,{'duration_sec': 1972.7282660007477}
35,1676206053.0458272,"{'arch': 'alexnet', 'workers': 1, 'epochs': 5, 'batch_size': 1024, 'image_size': 224, 'device': 'cuda'}","{'arch': 'vgg16', 'workers': 1, 'batch_size': 1, 'image_size': 224, 'device': 'cuda'}",Sucess,{'duration_sec': 1147.7641596794128}
36,1676213549.3769336,"{'arch': 'deeplabv3_resnet50', 'workers': 1, 'epochs': 5, 'batch_size': 8, 'image_size': 224, 'device': 'cuda'}","{'arch': 'vgg16', 'workers': 1, 'batch_size': 1, 'image_size': 224, 'device': 'cuda'}",Sucess,{'duration_sec': 6895.274049520493}
37,1676215300.639938,"{'arch': 'vgg16', 'workers': 1, 'epochs': 5, 'batch_size': 64, 'image_size': 224, 'device': 'cuda'}","{'arch': 'deeplabv3_resnet50', 'workers': 1, 'batch_size': 1, 'image_size': 224, 'device': 'cuda'}",Sucess,{'duration_sec': 1150.2661776542664}
38,1676217339.0110848,"{'arch': 'resnet152', 'workers': 1, 'epochs': 5, 'batch_size': 32, 'image_size': 224, 'device': 'cuda'}","{'arch': 'deeplabv3_resnet50', 'workers': 1, 'batch_size': 1, 'image_size': 224, 'device': 'cuda'}",Sucess,{'duration_sec': 1437.5471246242523}
39,1676219085.2323527,"{'arch': 'alexnet', 'workers': 1, 'epochs': 5, 'batch_size': 1024, 'image_size': 224, 'device': 'cuda'}","{'arch': 'deeplabv3_resnet50', 'workers': 1, 'batch_size': 1, 'image_size': 224, 'device': 'cuda'}",Sucess,{'duration_sec': 1145.0364336967468}
40,1676226849.9653535,"{'arch': 'deeplabv3_resnet50', 'workers': 1, 'epochs': 5, 'batch_size': 8, 'image_size': 224, 'device': 'cuda'}","{'arch': 'deeplabv3_resnet50', 'workers': 1, 'batch_size': 1, 'image_size': 224, 'device': 'cuda'}",Sucess,{'duration_sec': 7163.485533952713}
41,1676228697.0353887,"{'arch': 'vgg16', 'workers': 1, 'epochs': 5, 'batch_size': 64, 'image_size': 224, 'device': 'cuda'}","{'arch': 'efficientnet_v2_l', 'workers': 1, 'batch_size': 1, 'image_size': 224, 'device': 'cuda'}",Sucess,{'duration_sec': 1246.661131620407}
42,1676230948.639708,"{'arch': 'resnet152', 'workers': 1, 'epochs': 5, 'batch_size': 32, 'image_size': 224, 'device': 'cuda'}","{'arch': 'efficientnet_v2_l', 'workers': 1, 'batch_size': 1, 'image_size': 224, 'device': 'cuda'}",Sucess,{'duration_sec': 1650.68159532547}
43,1676232677.1764956,"{'arch': 'alexnet', 'workers': 1, 'epochs': 5, 'batch_size': 1024, 'image_size': 224, 'device': 'cuda'}","{'arch': 'efficientnet_v2_l', 'workers': 1, 'batch_size': 1, 'image_size': 224, 'device': 'cuda'}",Sucess,{'duration_sec': 1127.9057343006134}
44,1676240178.9512594,"{'arch': 'deeplabv3_resnet50', 'workers': 1, 'epochs': 5, 'batch_size': 8, 'image_size': 224, 'device': 'cuda'}","{'arch': 'efficientnet_v2_l', 'workers': 1, 'batch_size': 1, 'image_size': 224, 'device': 'cuda'}",Sucess,{'duration_sec': 6900.388149738312}
